date,hour,temperature_c
2025-12-11,0,-20.4
2025-12-11,1,-20.4
2025-12-11,2,-20.5
2025-12-11,3,-20.1
2025-12-11,4,-19.8
2025-12-11,5,-19.9
2025-12-11,6,-19.9
2025-12-11,7,-19.9
2025-12-11,8,-19.9
2025-12-11,9,-19.3
2025-12-11,10,-17.9
2025-12-11,11,-16.6
2025-12-11,12,-15.5
2025-12-11,13,-14.800000000000002
2025-12-11,14,-14.5
2025-12-11,15,-15.0
2025-12-11,16,-15.9
2025-12-11,17,-16.5
2025-12-11,18,-17.0
2025-12-11,19,-17.3
2025-12-11,20,-17.5
2025-12-11,21,-17.4
2025-12-11,22,-17.3
2025-12-11,23,-17.3
